branch_id_1	branch_id_2	omegaCany2spe_iqtree2	omegaCany2spe_iqtree3
0	1	0.5504	0.5505
0	2	0.2528	0.2529
0	3	0.0	0.0
0	4	0.0056	0.0056
0	5	0.0	0.0
0	6	0.5714	0.5732
0	7	4.1832	4.184
0	8	1.3509	1.3511
0	9	0.6357	0.6357
0	12	0.8418	0.8422
0	13	2.4828	2.4828
0	14	51.975	51.9742
0	15	9.3752	9.3759
0	16	6.1402	6.1408
0	17	0.0	0.0
0	18	0.1466	0.1467
0	19	0.0198	0.0198
0	20	0.0008	0.0008
0	21	0.0	0.0
0	22	0.7498	0.75
0	23	4.7129	4.7143
0	24	0.0032	0.0032
0	25	0.0027	0.0027
0	26	0.0904	0.0904
0	27	0.013	0.013
0	28	0.3562	0.3562
0	29	0.0043	0.0043
0	30	0.0375	0.0375
0	31	0.912	0.9122
0	32	0.0829	0.083
0	33	inf	inf
0	34	0.0	0.0
0	35	0.0327	0.0327
0	36	1.7403	1.7407
0	37	1.9532	1.9536
0	38	0.7224	0.7225
0	40	1.4165	1.4165
0	41	0.0019	0.0019
0	42	6.7942	6.7959
0	43	2.2566	2.2571
0	44	0.8629	0.8631
0	45	1.4558	1.4558
0	46	4.0925	4.0928
0	47	0.0082	0.0082
0	48	0.3932	0.3933
0	49	0.0369	0.0369
0	50	0.0844	0.0844
0	51	0.5726	0.5728
0	52	0.4531	0.4532
0	53	1.304	1.3042
0	54	0.2883	0.2882
0	55	3.3776	3.3788
0	56	0.5603	0.5605
0	57	0.0096	0.0096
0	58	0.5075	0.5076
0	59	1.166	1.1661
0	60	2.4328	2.4331
0	61	1.6303	1.6305
1	2	0.0023	0.0023
1	3	0.0	0.0
1	4	9.4858	9.4871
1	5	0.0441	0.0442
1	6	1.5715	1.5718
1	9	4.2746	4.2752
1	10	0.6624	0.6626
1	11	1.1797	1.1799
1	12	0.0885	0.0885
1	13	0.0017	0.0017
1	14	0.0	0.0
1	15	0.0047	0.0047
1	16	0.3883	0.3883
1	17	0.0	0.0
1	18	0.0165	0.0165
1	19	0.0027	0.0027
1	20	0.2414	0.2415
1	21	0.0	0.0
1	22	6.3939	6.395
1	23	1.6319	1.6323
1	24	9.9894	9.9925
1	25	0.0094	0.0094
1	26	0.1123	0.1123
1	27	3.6555	3.656
1	28	0.8737	0.8738
1	29	0.0102	0.0102
1	30	0.0001	0.0001
1	31	3.5147	3.5151
1	32	0.8866	0.8867
1	33	0.0	0.0
1	34	0.0	0.0
1	35	0.0	0.0
